"","x"
"142","   Air Arabia lays off more staff due to  COVID19 impact   "
"143","Air Arabia lays off more staff due to  COVID19 impact   "
"144","Air Arabia lays off more staff due to COVID 19 impact  "
"145","Air Arabia lays off more staff due to COVID 19 impact  "
"146","    check in air arabia  is less in august"
"147","  The outgoing President is afforded one last flight in Air Force One to take him wherever he wants to   "
"148","             Sir  humbly request you to Pls allow   "
"149","   World Airports opening dates   1  Lebanon      July 15  2020 2  Bahrain      June 10  2020 3  Qatar        "
"150","   Sir will international flights  like Emirates Air Arabia Etihad be allowed to land before July so ma   "
"151","   Some of the Middle East s biggest airlines  including Emirates and Air Arabia  are taking drastic measures in difficult times "
"152","   Chennai Customs Int l Airport  On 02 06 2020 customs facilitated smooth Clearance of Special Relief flight of Gulf Air "
"153","   Chennai Customs Int l Airport  On 02 06 2020 customs facilitated smooth Clearance of Special Relief flight of Gulf Air "
"154","   Chennai Customs Int l Airport  On 02 06 2020 customs facilitated smooth Clearance of Special Relief flight of Gulf Air "
"155","   World Airports opening dates           1  Lebanon      July 15  2020 2  Bahrain      June 10  2020 3  Qatar      June 10  2020 4  Jor "
"156","   World Airports opening dates           1  Lebanon      July 15  2020 2  Bahrain      June 10  2020 3  Qatar      June 10  2020 4  Jor "
"157","   Chennai Customs Int l Airport  On 02 06 2020 customs facilitated smooth Clearance of Special Relief flight of Gulf Air "
"158","   Chennai Customs Int l Airport  On 02 06 2020 customs facilitated smooth Clearance of Special Relief flight of Gulf Air "
"159","2 Inc  UAE  Saudi Arabia and all their official and unofficial mercenaries   Stop strangling siege on Yemen by all   "
"160","500M comes from Saudi Arabia  main combatant in Yemen  500M is about 6 fighter jets  Saudi and allies did almost 21   "
"161","   World Airports opening dates           1  Lebanon      July 15  2020 2  Bahrain      June 10  2020 3  Qatar      June 10  2020 4  Jor "
"162","ON AIR  SAM ARTHUR   Adding value to lives daily  Talk to us on 0208 90 2121 HELLO  CO UK   "
"163","   Chennai Customs Int l Airport  On 02 06 2020 customs facilitated smooth Clearance of Special Relief flight of Gulf Air "
"164","Chennai Customs Int l Airport  On 02 06 2020 customs facilitated smooth Clearance of Special Relief flight of Gulf   "
"165","  received its first ever scheduled charter flight by a foreign carrier on June 2  2020   This was a r   "
"166","The Yemeni people need to stop  Saudi Arabia s military aggression  amp  war  amp  air bombing on  Yemen  amp  the ability of e   "
"167","  Sir  humbly request you to Pls allow Emirates  Fl "
"168","  Sir  humbly request you to Pls allow Emirates  Fl "
"169","            Sir  humbly request you to Pls allow Emirates   "
"170","            Sir  humbly request you to Pls allow Emirates   "
"171","Saudi Arabia allegedly deploys Skyguard air defense system against Houthi drones   Tactical Report  "
"172","ON AIR  SAM ARTHUR   Adding value to lives daily  Talk to us on 0208 90 2121 HELLO  CO UK   "
"173","   World Airports opening dates           1  Lebanon      July 15  2020 2  Bahrain      June 10  2020 3  Qatar      June 10  2020 4  Jor "
"174","   World Airports opening dates           1  Lebanon      July 15  2020 2  Bahrain      June 10  2020 3  Qatar      June 10  2020 4  Jor "
"175","World Airports opening dates           1  Lebanon      July 15  2020 2  Bahrain      June 10  2020 3  Qatar      June 10  20   "
"176","The  BBC has just devoted 6 mins to the catastrophic conflict and covid 19 pandemic in  Yemen  with both Iran and S   "
"177","Israel  won t miss historic opportunity  to annex parts of West Bank  Netanyahu   Yemen Demands Saudi Arabia to Sto   "
"178"," Saudi Arabia s General Authority for Civil Aviation  GACA  has confirmed the completion of Al Jouf and Arar airpor   "
"179","   Iranian Chafer APT Targeted Air Transportation and Government in Kuwait and Saudi Arabia   via   "
"180","World Airports opening day  1  Lebanon      July 15  2020 2  Bahrain      June 10  2020 3  Qatar      June 10  2020 4  Jo   "
"181","  World Airports opening dates           1  Lebanon      July 15  2020 2  Bahrain      June 10  2020 3  Qatar      June "
"182","  World Airports opening dates           1  Lebanon      July 15  2020 2  Bahrain      June 10  2020 3  Qatar   "
"183","  Air Arabia is ready to fly Emirates would also announce its destinations very soon  But India is keeping its ai "
"184","            Sir  humbly request you to Pls allow Emirates   "
"185","   Dubai s main share index edged up 0 1   with budget airliner Air Arabia  advancing 3 7     "
"186","Dubai s main share index edged up 0 1   with budget airliner Air Arabia  advancing 3 7     "
"187","  why am I being given air Arabia vouchers in refund for my flight that was cancelled  Every major ai   "
"188","            Sir  humbly request you to Pls allow Emirates   "
"189","  Air Arabia is ready to fly Emirates would also announce its destinations very soon  But India is keeping its ai "
"190","  Sir  humbly request you to Pls allow Emirates  Fl "
"191","            Sir  humbly request you to Pls allow Emirates   "
"192","  Air Arabia is ready to fly Emirates would also announce its destinations very soon  But India is keeping its ai "
"193"," Social media posts by Corpus Christi naval air station shooter Adam Alsahli indicate he supported key figures link   "
"194","    Just spoke with Air arabia  they are telling they can book the flights  regarding appr   "
"195","  Air Arabia is ready to fly Emirates would also announce its destinations very soon  But India is keeping its ai "
"196","  I am C Rajasekar who was about to travel to bahrain in air arabia flight on 2 march 2020  But it was can   "
"197","  Air Arabia is ready to fly Emirates would also announce its destinations very soon  But India is keeping its ai "
"198","shooting   fire   smoke   US   base   North Gate   shooter   Naval   Air   Station   NAS   Corpus Cristi   Texas      "
"199","   Few of the biggest arms deals in the history of time estimated in billions of      USA sold to Saudi Arabia military we "
"200","  Air Arabia is ready to fly Emirates would also announce its destinations very soon  But India is keeping its ai "
"201","  Air Arabia is ready to fly Emirates would also announce its destinations very soon  But India is keeping its ai "
"202","Few of the biggest arms deals in the history of time estimated in billions of      USA sold to Saudi Arabia militar   "
"203","      Trump doesn t know the basic points of the Constitution and the Bill of R   "
"204","   Some of the Middle East s biggest airlines  including Emirates and Air Arabia  are taking drastic measures in difficult times "
"205","  Saudi Arabia bombs open air market  hospital  school bus  mosques    But hey Iran bad "
"206","  Air India may please start online booking for stranded indians in Saudi Arabia  being evacuated under V   "
"207","  Air Arabia is ready to fly Emirates would also announce its destinations very soon  But India is keeping its ai "
"208","                  Air Arabi   "
"209","  Air Arabia is ready to fly Emirates would also announce its destinations very soon  But India is keeping   "
"210","Air Arabia is ready to fly Emirates would also announce its destinations very soon  But India is keeping its airpor   "
"211","Air Arabia is ready to fly to India  Emirates would also announce its destinations very soon  But India is keeping   "
"212"," VandeBharatMission Air Arabia is ready to fly to India  Emirates would also announce its destinations very soon  B   "
